"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Adilabad","40.9 (2017)"
"Nizamabad","58.6 (2017)"
"Mancherial","65.4 (2017)"
"Nirmal","51.5 (2017)"
"Peddapalli","58.5 (2017)"
"Mahabubabad","48.1 (2017)"
"Komaram Bheem","50.1 (2017)"
"Jagtial","54.7 (2017)"
"Jayashankar","50.3 (2017)"
"Bhadradri","55.3 (2017)"
