"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"East Garo Hills","32.3 (2017)"
"East Khasi Hills","44.3 (2017)"
"Jaintia Hills","36.7 (2017)"
"West Garo Hills","45 (2017)"
"South Garo Hills","36.6 (2017)"
"West Khasi Hills","46.4 (2017)"
"Ribhoi",""
