"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Barpeta","68.4 (2017)"
"Cachar","63.3 (2017)"
"Bongaigaon","73.7 (2017)"
"Baksa","63.7 (2017)"
"Kokrajhar","69.9 (2017)"
"Dhubri","68.2 (2017)"
"Goalpara","60.3 (2017)"
"Morigaon","71.4 (2017)"
"Nagaon","72.6 (2017)"
"Sonitpur","54 (2017)"
"Lakhimpur","65.5 (2017)"
"Dhemaji","46.8 (2017)"
"Tinsukia","52.8 (2017)"
"Dibrugarh","49.4 (2017)"
"Sivasagar","59.2 (2017)"
"Jorhat","53.8 (2017)"
"Golaghat","51.9 (2017)"
"Karbi Anglong","51.5 (2017)"
"Dima Hasao","58.8 (2017)"
"Karimganj","61.6 (2017)"
"Hailakandi","68.7 (2017)"
"Chirang","59.1 (2017)"
"Kamrup","60.6 (2017)"
"Kamrup Metropolitan","58.4 (2017)"
"Nalbari","63.7 (2017)"
"Darrang","61.7 (2017)"
"Udalguri","61.9 (2017)"
