"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Kasaragod","67.6 (2017)"
"Kannur","62.6 (2017)"
"Kozhikode","59.3 (2017)"
"Malappuram","72 (2017)"
"Ernakulam","62.4 (2017)"
"Idukki","57.3 (2017)"
"Kottayam","57.5 (2017)"
"Alappuzha","56.3 (2017)"
"Kollam","70 (2017)"
"Wayanad","59.8 (2017)"
"Palakkad","61.2 (2017)"
"Thrissur","65.6 (2017)"
"Pathanamthitta","55.5 (2017)"
"Thiruvananthapuram","73.5 (2017)"
