"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Uttarkashi","51.6 (2017)"
"Chamoli","52.6 (2017)"
"Rudraprayag","63.4 (2017)"
"Tehri Garhwal","64.8 (2017)"
"Dehradun","53.3 (2017)"
"Garhwal","66.5 (2017)"
"Pithoragarh","53.4 (2017)"
"Bageshwar","65.5 (2017)"
"Almora","54.5 (2017)"
"Champawat","48.2 (2017)"
"Nainital","56.4 (2017)"
"Udham Singh Nagar","58.3 (2017)"
"Hardwar","66 (2017)"
