"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"North Sikkim","47.9 (2017)"
"West Sikkim","47.3 (2017)"
"South Sikkim","40.1 (2017)"
"East Sikkim","38.8 (2017)"
