"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Koriya","42.7 (2017)"
"Jashpur","55 (2017)"
"Raigarh","46.3 (2017)"
"Korba","47.2 (2017)"
"Janjgir-Champa","41 (2017)"
"Bilaspur","40 (2017)"
"Kabeerdham","47.5 (2017)"
"Durg","48.7 (2017)"
"Raipur","45.1 (2017)"
"Mahasamund","36.9 (2017)"
"Dhamtari","41.2 (2017)"
"Bastar","43.5 (2017)"
"Narayanpur","45.5 (2017)"
"Dantewada","40 (2017)"
"Bijapur","43.4 (2017)"
"Surguja","58.8 (2017)"
"Rajnandgaon","49.3 (2017)"
"Uttar Bastar Kanker","38.5 (2017)"
