"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Nicobar Islands","47.9 (2017)"
"North and Middle Andaman","49.3 (2017)"
"South Andaman","48.9 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
