"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Mamit","46.6 (2017)"
"Kolasib","49.3 (2017)"
"Aizawl","47.4 (2017)"
"Champhai","47.1 (2017)"
"Serchhip","42.6 (2017)"
"Lunglei","44.6 (2017)"
"Lawngtlai","37.7 (2017)"
"Saiha","39.7 (2017)"
